"Time (CET/CEST)","BZN|NO3 > BZN|NO1 [MW]","BZN|NO1 > BZN|NO3 [MW]"
"01.03.2025 00:00 - 01.03.2025 00:15","372","0"
"01.03.2025 00:15 - 01.03.2025 00:30","375","0"
"01.03.2025 00:30 - 01.03.2025 00:45","378","0"
"01.03.2025 00:45 - 01.03.2025 01:00","382","0"
"01.03.2025 01:00 - 01.03.2025 01:15","401","0"
"01.03.2025 01:15 - 01.03.2025 01:30","416","0"
"01.03.2025 01:30 - 01.03.2025 01:45","424","0"
"01.03.2025 01:45 - 01.03.2025 02:00","419","0"
"01.03.2025 02:00 - 01.03.2025 02:15","439","0"
"01.03.2025 02:15 - 01.03.2025 02:30","430","0"
"01.03.2025 02:30 - 01.03.2025 02:45","418","0"
"01.03.2025 02:45 - 01.03.2025 03:00","411","0"
"01.03.2025 03:00 - 01.03.2025 03:15","413","0"
"01.03.2025 03:15 - 01.03.2025 03:30","405","0"
"01.03.2025 03:30 - 01.03.2025 03:45","407","0"
"01.03.2025 03:45 - 01.03.2025 04:00","405","0"
"01.03.2025 04:00 - 01.03.2025 04:15","404","0"
"01.03.2025 04:15 - 01.03.2025 04:30","403","0"
"01.03.2025 04:30 - 01.03.2025 04:45","387","0"
"01.03.2025 04:45 - 01.03.2025 05:00","393","0"
"01.03.2025 05:00 - 01.03.2025 05:15","406","0"
"01.03.2025 05:15 - 01.03.2025 05:30","408","0"
"01.03.2025 05:30 - 01.03.2025 05:45","400","0"
"01.03.2025 05:45 - 01.03.2025 06:00","396","0"
"01.03.2025 06:00 - 01.03.2025 06:15","384","0"
"01.03.2025 06:15 - 01.03.2025 06:30","400","0"
"01.03.2025 06:30 - 01.03.2025 06:45","395","0"
"01.03.2025 06:45 - 01.03.2025 07:00","369","0"
"01.03.2025 07:00 - 01.03.2025 07:15","357","0"
"01.03.2025 07:15 - 01.03.2025 07:30","359","0"
"01.03.2025 07:30 - 01.03.2025 07:45","362","0"
"01.03.2025 07:45 - 01.03.2025 08:00","371","0"
"01.03.2025 08:00 - 01.03.2025 08:15","376","0"
"01.03.2025 08:15 - 01.03.2025 08:30","369","0"
"01.03.2025 08:30 - 01.03.2025 08:45","379","0"
"01.03.2025 08:45 - 01.03.2025 09:00","390","0"
"01.03.2025 09:00 - 01.03.2025 09:15","355","0"
"01.03.2025 09:15 - 01.03.2025 09:30","361","0"
"01.03.2025 09:30 - 01.03.2025 09:45","369","0"
"01.03.2025 09:45 - 01.03.2025 10:00","383","0"
"01.03.2025 10:00 - 01.03.2025 10:15","405","0"
"01.03.2025 10:15 - 01.03.2025 10:30","421","0"
"01.03.2025 10:30 - 01.03.2025 10:45","419","0"
"01.03.2025 10:45 - 01.03.2025 11:00","430","0"
"01.03.2025 11:00 - 01.03.2025 11:15","451","0"
"01.03.2025 11:15 - 01.03.2025 11:30","464","0"
"01.03.2025 11:30 - 01.03.2025 11:45","449","0"
"01.03.2025 11:45 - 01.03.2025 12:00","451","0"
"01.03.2025 12:00 - 01.03.2025 12:15","445","0"
"01.03.2025 12:15 - 01.03.2025 12:30","437","0"
"01.03.2025 12:30 - 01.03.2025 12:45","443","0"
"01.03.2025 12:45 - 01.03.2025 13:00","457","0"
"01.03.2025 13:00 - 01.03.2025 13:15","456","0"
"01.03.2025 13:15 - 01.03.2025 13:30","451","0"
"01.03.2025 13:30 - 01.03.2025 13:45","449","0"
"01.03.2025 13:45 - 01.03.2025 14:00","453","0"
"01.03.2025 14:00 - 01.03.2025 14:15","439","0"
"01.03.2025 14:15 - 01.03.2025 14:30","442","0"
"01.03.2025 14:30 - 01.03.2025 14:45","455","0"
"01.03.2025 14:45 - 01.03.2025 15:00","454","0"
"01.03.2025 15:00 - 01.03.2025 15:15","455","0"
"01.03.2025 15:15 - 01.03.2025 15:30","462","0"
"01.03.2025 15:30 - 01.03.2025 15:45","472","0"
"01.03.2025 15:45 - 01.03.2025 16:00","467","0"
"01.03.2025 16:00 - 01.03.2025 16:15","445","0"
"01.03.2025 16:15 - 01.03.2025 16:30","453","0"
"01.03.2025 16:30 - 01.03.2025 16:45","464","0"
"01.03.2025 16:45 - 01.03.2025 17:00","455","0"
"01.03.2025 17:00 - 01.03.2025 17:15","437","0"
"01.03.2025 17:15 - 01.03.2025 17:30","438","0"
"01.03.2025 17:30 - 01.03.2025 17:45","447","0"
"01.03.2025 17:45 - 01.03.2025 18:00","454","0"
"01.03.2025 18:00 - 01.03.2025 18:15","425","0"
"01.03.2025 18:15 - 01.03.2025 18:30","426","0"
"01.03.2025 18:30 - 01.03.2025 18:45","428","0"
"01.03.2025 18:45 - 01.03.2025 19:00","438","0"
"01.03.2025 19:00 - 01.03.2025 19:15","392","0"
"01.03.2025 19:15 - 01.03.2025 19:30","393","0"
"01.03.2025 19:30 - 01.03.2025 19:45","395","0"
"01.03.2025 19:45 - 01.03.2025 20:00","424","0"
"01.03.2025 20:00 - 01.03.2025 20:15","413","0"
"01.03.2025 20:15 - 01.03.2025 20:30","377","0"
"01.03.2025 20:30 - 01.03.2025 20:45","389","0"
"01.03.2025 20:45 - 01.03.2025 21:00","399","0"
"01.03.2025 21:00 - 01.03.2025 21:15","432","0"
"01.03.2025 21:15 - 01.03.2025 21:30","434","0"
"01.03.2025 21:30 - 01.03.2025 21:45","406","0"
"01.03.2025 21:45 - 01.03.2025 22:00","402","0"
"01.03.2025 22:00 - 01.03.2025 22:15","380","0"
"01.03.2025 22:15 - 01.03.2025 22:30","371","0"
"01.03.2025 22:30 - 01.03.2025 22:45","355","0"
"01.03.2025 22:45 - 01.03.2025 23:00","350","0"
