"Time (CET/CEST)","BZN|SE3 > BZN|NO1 [MW]","BZN|NO1 > BZN|SE3 [MW]"
"02.03.2025 00:00 - 02.03.2025 01:00","1831","0"
"02.03.2025 01:00 - 02.03.2025 02:00","1822","0"
"02.03.2025 02:00 - 02.03.2025 03:00","1870","0"
"02.03.2025 03:00 - 02.03.2025 04:00","1876","0"
"02.03.2025 04:00 - 02.03.2025 05:00","1912","0"
"02.03.2025 05:00 - 02.03.2025 06:00","1866","0"
"02.03.2025 06:00 - 02.03.2025 07:00","2014","0"
"02.03.2025 07:00 - 02.03.2025 08:00","1904","0"
"02.03.2025 08:00 - 02.03.2025 09:00","1873","0"
"02.03.2025 09:00 - 02.03.2025 10:00","2035","0"
"02.03.2025 10:00 - 02.03.2025 11:00","2015","0"
"02.03.2025 11:00 - 02.03.2025 12:00","2123","0"
"02.03.2025 12:00 - 02.03.2025 13:00","2182","0"
"02.03.2025 13:00 - 02.03.2025 14:00","2021","0"
"02.03.2025 14:00 - 02.03.2025 15:00","1756","0"
"02.03.2025 15:00 - 02.03.2025 16:00","1823","0"
"02.03.2025 16:00 - 02.03.2025 17:00","1891","0"
"02.03.2025 17:00 - 02.03.2025 18:00","1957","0"
"02.03.2025 18:00 - 02.03.2025 19:00","1986","0"
"02.03.2025 19:00 - 02.03.2025 20:00","2133","0"
"02.03.2025 20:00 - 02.03.2025 21:00","1888","0"
"02.03.2025 21:00 - 02.03.2025 22:00","2071","0"
"02.03.2025 22:00 - 02.03.2025 23:00","2145","0"
"02.03.2025 23:00 - 03.03.2025 00:00","1953","0"
