"Time (CET/CEST)","BZN|SE3 > BZN|NO1 [MW]","BZN|NO1 > BZN|SE3 [MW]"
"12.03.2025 00:00 - 12.03.2025 01:00","0","980"
"12.03.2025 01:00 - 12.03.2025 02:00","0","947"
"12.03.2025 02:00 - 12.03.2025 03:00","0","948"
"12.03.2025 03:00 - 12.03.2025 04:00","0","1012"
"12.03.2025 04:00 - 12.03.2025 05:00","0","1008"
"12.03.2025 05:00 - 12.03.2025 06:00","0","1235"
"12.03.2025 06:00 - 12.03.2025 07:00","0","1103"
"12.03.2025 07:00 - 12.03.2025 08:00","0","1038"
"12.03.2025 08:00 - 12.03.2025 09:00","0","908"
"12.03.2025 09:00 - 12.03.2025 10:00","0","781"
"12.03.2025 10:00 - 12.03.2025 11:00","0","816"
"12.03.2025 11:00 - 12.03.2025 12:00","0","1056"
"12.03.2025 12:00 - 12.03.2025 13:00","0","1087"
"12.03.2025 13:00 - 12.03.2025 14:00","0","992"
"12.03.2025 14:00 - 12.03.2025 15:00","0","846"
"12.03.2025 15:00 - 12.03.2025 16:00","0","875"
"12.03.2025 16:00 - 12.03.2025 17:00","0","868"
"12.03.2025 17:00 - 12.03.2025 18:00","0","1154"
"12.03.2025 18:00 - 12.03.2025 19:00","0","1041"
"12.03.2025 19:00 - 12.03.2025 20:00","0","1037"
"12.03.2025 20:00 - 12.03.2025 21:00","0","1129"
"12.03.2025 21:00 - 12.03.2025 22:00","0","1094"
"12.03.2025 22:00 - 12.03.2025 23:00","0","1159"
"12.03.2025 23:00 - 13.03.2025 00:00","0","1225"
