"Time (CET/CEST)","BZN|NO2 > BZN|NO1 [MW]","BZN|NO1 > BZN|NO2 [MW]"
"30.03.2025 00:00 - 30.03.2025 00:15","0","1091"
"30.03.2025 00:15 - 30.03.2025 00:30","0","1052"
"30.03.2025 00:30 - 30.03.2025 00:45","0","1147"
"30.03.2025 00:45 - 30.03.2025 01:00","0","1104"
"30.03.2025 01:00 - 30.03.2025 01:15","0","1108"
"30.03.2025 01:15 - 30.03.2025 01:30","0","1127"
"30.03.2025 01:30 - 30.03.2025 01:45","0","1012"
"30.03.2025 01:45 - 30.03.2025 02:00","0","923"
"30.03.2025 02:00 - 30.03.2025 02:15","",""
"30.03.2025 02:15 - 30.03.2025 02:30","",""
"30.03.2025 02:30 - 30.03.2025 02:45","",""
"30.03.2025 02:45 - 30.03.2025 03:00","",""
"30.03.2025 03:00 - 30.03.2025 03:15","0","382"
"30.03.2025 03:15 - 30.03.2025 03:30","0","418"
"30.03.2025 03:30 - 30.03.2025 03:45","0","594"
"30.03.2025 03:45 - 30.03.2025 04:00","0","600"
"30.03.2025 04:00 - 30.03.2025 04:15","0","156"
"30.03.2025 04:15 - 30.03.2025 04:30","0","195"
"30.03.2025 04:30 - 30.03.2025 04:45","0","300"
"30.03.2025 04:45 - 30.03.2025 05:00","0","344"
"30.03.2025 05:00 - 30.03.2025 05:15","0","577"
"30.03.2025 05:15 - 30.03.2025 05:30","0","618"
"30.03.2025 05:30 - 30.03.2025 05:45","0","711"
"30.03.2025 05:45 - 30.03.2025 06:00","0","756"
"30.03.2025 06:00 - 30.03.2025 06:15","0","446"
"30.03.2025 06:15 - 30.03.2025 06:30","0","406"
"30.03.2025 06:30 - 30.03.2025 06:45","0","398"
"30.03.2025 06:45 - 30.03.2025 07:00","0","409"
"30.03.2025 07:00 - 30.03.2025 07:15","0","335"
"30.03.2025 07:15 - 30.03.2025 07:30","0","322"
"30.03.2025 07:30 - 30.03.2025 07:45","0","372"
"30.03.2025 07:45 - 30.03.2025 08:00","0","344"
"30.03.2025 08:00 - 30.03.2025 08:15","0","263"
"30.03.2025 08:15 - 30.03.2025 08:30","0","320"
"30.03.2025 08:30 - 30.03.2025 08:45","0","304"
"30.03.2025 08:45 - 30.03.2025 09:00","0","339"
"30.03.2025 09:00 - 30.03.2025 09:15","0","234"
"30.03.2025 09:15 - 30.03.2025 09:30","0","225"
"30.03.2025 09:30 - 30.03.2025 09:45","0","342"
"30.03.2025 09:45 - 30.03.2025 10:00","0","345"
"30.03.2025 10:00 - 30.03.2025 10:15","0","617"
"30.03.2025 10:15 - 30.03.2025 10:30","0","520"
"30.03.2025 10:30 - 30.03.2025 10:45","0","440"
"30.03.2025 10:45 - 30.03.2025 11:00","0","446"
"30.03.2025 11:00 - 30.03.2025 11:15","0","290"
"30.03.2025 11:15 - 30.03.2025 11:30","0","287"
"30.03.2025 11:30 - 30.03.2025 11:45","0","297"
"30.03.2025 11:45 - 30.03.2025 12:00","0","255"
"30.03.2025 12:00 - 30.03.2025 12:15","293","0"
"30.03.2025 12:15 - 30.03.2025 12:30","417","0"
"30.03.2025 12:30 - 30.03.2025 12:45","478","0"
"30.03.2025 12:45 - 30.03.2025 13:00","545","0"
"30.03.2025 13:00 - 30.03.2025 13:15","895","0"
"30.03.2025 13:15 - 30.03.2025 13:30","976","0"
"30.03.2025 13:30 - 30.03.2025 13:45","983","0"
"30.03.2025 13:45 - 30.03.2025 14:00","999","0"
"30.03.2025 14:00 - 30.03.2025 14:15","1087","0"
"30.03.2025 14:15 - 30.03.2025 14:30","1139","0"
"30.03.2025 14:30 - 30.03.2025 14:45","1248","0"
"30.03.2025 14:45 - 30.03.2025 15:00","1244","0"
"30.03.2025 15:00 - 30.03.2025 15:15","988","0"
"30.03.2025 15:15 - 30.03.2025 15:30","935","0"
"30.03.2025 15:30 - 30.03.2025 15:45","936","0"
"30.03.2025 15:45 - 30.03.2025 16:00","872","0"
"30.03.2025 16:00 - 30.03.2025 16:15","369","0"
"30.03.2025 16:15 - 30.03.2025 16:30","278","0"
"30.03.2025 16:30 - 30.03.2025 16:45","246","0"
"30.03.2025 16:45 - 30.03.2025 17:00","164","0"
"30.03.2025 17:00 - 30.03.2025 17:15","0","68"
"30.03.2025 17:15 - 30.03.2025 17:30","0","167"
"30.03.2025 17:30 - 30.03.2025 17:45","0","284"
"30.03.2025 17:45 - 30.03.2025 18:00","0","512"
"30.03.2025 18:00 - 30.03.2025 18:15","0","457"
"30.03.2025 18:15 - 30.03.2025 18:30","0","418"
"30.03.2025 18:30 - 30.03.2025 18:45","0","429"
"30.03.2025 18:45 - 30.03.2025 19:00","0","357"
