Area;MTU;Biomass - Actual Aggregated [MW];Energy storage - Actual Aggregated [MW];Fossil Brown coal/Lignite - Actual Aggregated [MW];Fossil Coal-derived gas - Actual Aggregated [MW];Fossil Gas - Actual Aggregated [MW];Fossil Hard coal - Actual Aggregated [MW];Fossil Oil - Actual Aggregated [MW];Fossil Oil shale - Actual Aggregated [MW];Fossil Peat - Actual Aggregated [MW];Geothermal - Actual Aggregated [MW];Hydro Pumped Storage - Actual Aggregated [MW];Hydro Pumped Storage - Actual Consumption [MW];Hydro Run-of-river and poundage - Actual Aggregated [MW];Hydro Water Reservoir - Actual Aggregated [MW];Marine - Actual Aggregated [MW];Nuclear - Actual Aggregated [MW];Other - Actual Aggregated [MW];Other renewable - Actual Aggregated [MW];Solar - Actual Aggregated [MW];Waste - Actual Aggregated [MW];Wind Offshore - Actual Aggregated [MW];Wind Onshore - Actual Aggregated [MW]
BZN|NO1;01.03.2025 00:00 - 01.03.2025 01:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1467;1127;n/e;n/e;n/e;n/e;0;2;n/e;79
BZN|NO1;01.03.2025 01:00 - 01.03.2025 02:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1464;1109;n/e;n/e;n/e;n/e;0;2;n/e;86
BZN|NO1;01.03.2025 02:00 - 01.03.2025 03:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1468;1101;n/e;n/e;n/e;n/e;0;3;n/e;62
BZN|NO1;01.03.2025 03:00 - 01.03.2025 04:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1471;1138;n/e;n/e;n/e;n/e;0;4;n/e;38
BZN|NO1;01.03.2025 04:00 - 01.03.2025 05:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1471;1173;n/e;n/e;n/e;n/e;0;3;n/e;40
BZN|NO1;01.03.2025 05:00 - 01.03.2025 06:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1468;1125;n/e;n/e;n/e;n/e;0;4;n/e;36
BZN|NO1;01.03.2025 06:00 - 01.03.2025 07:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1471;1118;n/e;n/e;n/e;n/e;0;5;n/e;45
BZN|NO1;01.03.2025 07:00 - 01.03.2025 08:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1472;1116;n/e;n/e;n/e;n/e;0;5;n/e;47
BZN|NO1;01.03.2025 08:00 - 01.03.2025 09:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1467;1185;n/e;n/e;n/e;n/e;1;5;n/e;56
BZN|NO1;01.03.2025 09:00 - 01.03.2025 10:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1468;1188;n/e;n/e;n/e;n/e;2;6;n/e;77
BZN|NO1;01.03.2025 10:00 - 01.03.2025 11:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1470;1170;n/e;n/e;n/e;n/e;3;4;n/e;111
BZN|NO1;01.03.2025 11:00 - 01.03.2025 12:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1459;1150;n/e;n/e;n/e;n/e;3;4;n/e;147
BZN|NO1;01.03.2025 12:00 - 01.03.2025 13:00 (CET/CEST);0;n/e;n/e;n/e;0;n/e;n/e;n/e;n/e;n/e;n/e;n/e;1443;992;n/e;n/e;n/e;n/e;4;5;n/e;178
