"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|NO1","19.03.2025 00:00 - 19.03.2025 01:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1296","990","n/e","n/e","n/e","n/e","0","5","n/e","212"
"BZN|NO1","19.03.2025 01:00 - 19.03.2025 02:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1300","1016","n/e","n/e","n/e","n/e","0","5","n/e","214"
"BZN|NO1","19.03.2025 02:00 - 19.03.2025 03:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1299","1042","n/e","n/e","n/e","n/e","0","6","n/e","196"
"BZN|NO1","19.03.2025 03:00 - 19.03.2025 04:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1296","1008","n/e","n/e","n/e","n/e","0","7","n/e","225"
"BZN|NO1","19.03.2025 04:00 - 19.03.2025 05:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1291","1024","n/e","n/e","n/e","n/e","0","5","n/e","247"
"BZN|NO1","19.03.2025 05:00 - 19.03.2025 06:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1290","1034","n/e","n/e","n/e","n/e","0","5","n/e","193"
"BZN|NO1","19.03.2025 06:00 - 19.03.2025 07:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1298","1092","n/e","n/e","n/e","n/e","0","6","n/e","184"
"BZN|NO1","19.03.2025 07:00 - 19.03.2025 08:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1296","1080","n/e","n/e","n/e","n/e","2","4","n/e","157"
"BZN|NO1","19.03.2025 08:00 - 19.03.2025 09:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1294","1034","n/e","n/e","n/e","n/e","3","4","n/e","113"
"BZN|NO1","19.03.2025 09:00 - 19.03.2025 10:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1290","1053","n/e","n/e","n/e","n/e","5","4","n/e","79"
"BZN|NO1","19.03.2025 10:00 - 19.03.2025 11:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1283","923","n/e","n/e","n/e","n/e","6","3","n/e","64"
"BZN|NO1","19.03.2025 11:00 - 19.03.2025 12:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1272","857","n/e","n/e","n/e","n/e","6","3","n/e","62"
"BZN|NO1","19.03.2025 12:00 - 19.03.2025 13:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1272","724","n/e","n/e","n/e","n/e","7","3","n/e","66"
"BZN|NO1","19.03.2025 13:00 - 19.03.2025 14:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1268","662","n/e","n/e","n/e","n/e","6","4","n/e","67"
"BZN|NO1","19.03.2025 14:00 - 19.03.2025 15:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1274","839","n/e","n/e","n/e","n/e","6","4","n/e","64"
"BZN|NO1","19.03.2025 15:00 - 19.03.2025 16:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1290","999","n/e","n/e","n/e","n/e","5","4","n/e","68"
"BZN|NO1","19.03.2025 16:00 - 19.03.2025 17:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1287","1017","n/e","n/e","n/e","n/e","2","3","n/e","78"
"BZN|NO1","19.03.2025 17:00 - 19.03.2025 18:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1316","1005","n/e","n/e","n/e","n/e","1","4","n/e","71"
"BZN|NO1","19.03.2025 18:00 - 19.03.2025 19:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1341","1045","n/e","n/e","n/e","n/e","0","4","n/e","82"
"BZN|NO1","19.03.2025 19:00 - 19.03.2025 20:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1325","1024","n/e","n/e","n/e","n/e","0","4","n/e","102"
"BZN|NO1","19.03.2025 20:00 - 19.03.2025 21:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1322","1037","n/e","n/e","n/e","n/e","0","4","n/e","125"
"BZN|NO1","19.03.2025 21:00 - 19.03.2025 22:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1324","1020","n/e","n/e","n/e","n/e","0","5","n/e","165"
"BZN|NO1","19.03.2025 22:00 - 19.03.2025 23:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1325","1022","n/e","n/e","n/e","n/e","0","4","n/e","126"
"BZN|NO1","19.03.2025 23:00 - 20.03.2025 00:00 (CET/CEST)","0","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1323","1054","n/e","n/e","n/e","n/e","0","4","n/e","90"
