timestamp,BZN|NO1 > BZN|NO1A [MW],BZN|NO1 > BZN|NO2 [MW],BZN|NO1 > BZN|NO3 [MW],BZN|NO1 > BZN|NO5 [MW],BZN|NO1 > BZN|SE3 [MW],BZN|NO1A > BZN|NO1 [MW],BZN|NO2 > BZN|NO1 [MW],BZN|NO3 > BZN|NO1 [MW],BZN|NO5 > BZN|NO1 [MW],BZN|SE3 > BZN|NO1 [MW]
01.03.2025 00:00 - 01.03.2025 00:15,0.0,774.0,0.0,0.0,0.0,0.0,0.0,372.0,2483.0,0.0
01.03.2025 00:00 - 01.03.2025 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0
01.03.2025 00:15 - 01.03.2025 00:30,0.0,749.0,0.0,0.0,0.0,0.0,0.0,375.0,2461.0,0.0
01.03.2025 00:30 - 01.03.2025 00:45,0.0,745.0,0.0,0.0,0.0,0.0,0.0,378.0,2426.0,0.0
01.03.2025 00:45 - 01.03.2025 01:00,0.0,799.0,0.0,0.0,0.0,0.0,0.0,382.0,2400.0,0.0
01.03.2025 01:00 - 01.03.2025 01:15,0.0,1081.0,0.0,0.0,0.0,0.0,0.0,401.0,2185.0,0.0
01.03.2025 01:00 - 01.03.2025 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,539.0
01.03.2025 01:15 - 01.03.2025 01:30,0.0,1079.0,0.0,0.0,0.0,0.0,0.0,416.0,2161.0,0.0
01.03.2025 01:30 - 01.03.2025 01:45,0.0,1051.0,0.0,0.0,0.0,0.0,0.0,424.0,2137.0,0.0
01.03.2025 01:45 - 01.03.2025 02:00,0.0,1048.0,0.0,0.0,0.0,0.0,0.0,419.0,2144.0,0.0
01.03.2025 02:00 - 01.03.2025 02:15,0.0,1112.0,0.0,0.0,0.0,0.0,0.0,439.0,2091.0,0.0
01.03.2025 02:00 - 01.03.2025 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,617.0
01.03.2025 02:15 - 01.03.2025 02:30,0.0,1112.0,0.0,0.0,0.0,0.0,0.0,430.0,2079.0,0.0
01.03.2025 02:30 - 01.03.2025 02:45,0.0,1105.0,0.0,0.0,0.0,0.0,0.0,418.0,2072.0,0.0
01.03.2025 02:45 - 01.03.2025 03:00,0.0,1120.0,0.0,0.0,0.0,0.0,0.0,411.0,2052.0,0.0
01.03.2025 03:00 - 01.03.2025 03:15,0.0,1135.0,0.0,0.0,0.0,0.0,0.0,413.0,2062.0,0.0
01.03.2025 03:00 - 01.03.2025 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565.0
01.03.2025 03:15 - 01.03.2025 03:30,0.0,1094.0,0.0,0.0,0.0,0.0,0.0,405.0,2082.0,0.0
01.03.2025 03:30 - 01.03.2025 03:45,0.0,1140.0,0.0,0.0,0.0,0.0,0.0,407.0,2071.0,0.0
01.03.2025 03:45 - 01.03.2025 04:00,0.0,1131.0,0.0,0.0,0.0,0.0,0.0,405.0,2094.0,0.0
01.03.2025 04:00 - 01.03.2025 04:15,0.0,1085.0,0.0,0.0,0.0,0.0,0.0,404.0,2181.0,0.0
01.03.2025 04:00 - 01.03.2025 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463.0
01.03.2025 04:15 - 01.03.2025 04:30,0.0,1110.0,0.0,0.0,0.0,0.0,0.0,403.0,2175.0,0.0
01.03.2025 04:30 - 01.03.2025 04:45,0.0,1130.0,0.0,0.0,0.0,0.0,0.0,387.0,2142.0,0.0
01.03.2025 04:45 - 01.03.2025 05:00,0.0,1125.0,0.0,0.0,0.0,0.0,0.0,393.0,2155.0,0.0
01.03.2025 05:00 - 01.03.2025 05:15,0.0,1060.0,0.0,0.0,0.0,0.0,0.0,406.0,2135.0,0.0
01.03.2025 05:00 - 01.03.2025 06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.0
01.03.2025 05:15 - 01.03.2025 05:30,0.0,1015.0,0.0,0.0,0.0,0.0,0.0,408.0,2141.0,0.0
01.03.2025 05:30 - 01.03.2025 05:45,0.0,1004.0,0.0,0.0,0.0,0.0,0.0,400.0,2152.0,0.0
01.03.2025 05:45 - 01.03.2025 06:00,0.0,987.0,0.0,0.0,0.0,0.0,0.0,396.0,2165.0,0.0
01.03.2025 06:00 - 01.03.2025 06:15,0.0,930.0,0.0,0.0,0.0,0.0,0.0,384.0,2256.0,0.0
01.03.2025 06:00 - 01.03.2025 07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0
01.03.2025 06:15 - 01.03.2025 06:30,0.0,855.0,0.0,0.0,0.0,0.0,0.0,400.0,2179.0,0.0
01.03.2025 06:30 - 01.03.2025 06:45,0.0,813.0,0.0,0.0,0.0,0.0,0.0,395.0,2228.0,0.0
01.03.2025 06:45 - 01.03.2025 07:00,0.0,764.0,0.0,0.0,0.0,0.0,0.0,369.0,2291.0,0.0
01.03.2025 07:00 - 01.03.2025 07:15,0.0,702.0,0.0,0.0,0.0,0.0,0.0,357.0,2336.0,0.0
01.03.2025 07:00 - 01.03.2025 08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0
01.03.2025 07:15 - 01.03.2025 07:30,0.0,643.0,0.0,0.0,0.0,0.0,0.0,359.0,2335.0,0.0
01.03.2025 07:30 - 01.03.2025 07:45,0.0,596.0,0.0,0.0,0.0,0.0,0.0,362.0,2369.0,0.0
01.03.2025 07:45 - 01.03.2025 08:00,0.0,615.0,0.0,0.0,0.0,0.0,0.0,371.0,2415.0,0.0
01.03.2025 08:00 - 01.03.2025 08:15,0.0,437.0,0.0,0.0,0.0,0.0,0.0,376.0,2575.0,0.0
01.03.2025 08:00 - 01.03.2025 09:00,0.0,0.0,0.0,0.0,359.0,0.0,0.0,0.0,0.0,0.0
01.03.2025 08:15 - 01.03.2025 08:30,0.0,201.0,0.0,0.0,0.0,0.0,0.0,369.0,2671.0,0.0
01.03.2025 08:30 - 01.03.2025 08:45,0.0,256.0,0.0,0.0,0.0,0.0,0.0,379.0,2693.0,0.0
01.03.2025 08:45 - 01.03.2025 09:00,0.0,279.0,0.0,0.0,0.0,0.0,0.0,390.0,2700.0,0.0
01.03.2025 09:00 - 01.03.2025 09:15,0.0,70.0,0.0,0.0,0.0,0.0,0.0,355.0,2771.0,0.0
01.03.2025 09:00 - 01.03.2025 10:00,0.0,0.0,0.0,0.0,520.0,0.0,0.0,0.0,0.0,0.0
01.03.2025 09:15 - 01.03.2025 09:30,0.0,63.0,0.0,0.0,0.0,0.0,0.0,361.0,2762.0,0.0
01.03.2025 09:30 - 01.03.2025 09:45,0.0,50.0,0.0,0.0,0.0,0.0,0.0,369.0,2766.0,0.0
01.03.2025 09:45 - 01.03.2025 10:00,0.0,35.0,0.0,0.0,0.0,0.0,0.0,383.0,2776.0,0.0
01.03.2025 10:00 - 01.03.2025 10:15,0.0,129.0,0.0,0.0,0.0,0.0,0.0,405.0,2617.0,0.0
