EicCode;EicDisplayName;EicLongName;EicParent;EicResponsibleParty;EicStatus;MarketParticipantPostalCode;MarketParticipantIsoCountryCode;MarketParticipantVatCode;EicTypeFunctionList;type
26X00000001515-Y;LA_220;La 220 S.p.A.;;;Active;;;IT02633180985;Trade Responsible Party;X
26X00000105734-O;IT-GEO____SPA;GEO;;;Active;;;IT03961820960;Trade Responsible Party;X
26X00000105740-W;IT-BETA_ENERGYS;BETA ENERGY;;;Active;;;IT07672150963;Trade Responsible Party;X
10X1001A1001A094;ELIA;Elia Transmission Belgium;;;Active;1000;BE;BE0731852231;System Operator;X
10X1001A1001A248;ENERGINET-DK;Energinet;;;Active;7000;DK;28980671;System Operator;X
10X1001A1001A264;FINGRID;Fingrid Oyj;;;Active;FI-00101;FI;FI10728943;System Operator;X
10X1001A1001A329;MAVIR;MAVIR Magyar Villamosenergia-ipari Átviteli Rendszerirányító Zrt.;;;Active;1031;HU;HU12550753;System Operator;X
10X1001A1001A345;ITALY_TSO;TERNA;;;Active;00138;IT;IT05779661007;System Operator;X
10X1001A1001A353;DVGW;DVGW e.V.;;;Active;53123;;DE114341970;Information Provider;X
10X1001A1001A361;TENNET_TSO;TenneT TSO B.V.;;;Active;NL-6812 AR;NL;NL807273776B01;System Operator;X
10X1001A1001A38Y;STATNETT_SF;STATNETT SF;;;Active;0302;;NO962986633;System Operator;X
10X1001A1001A39W;ELERING;Elering AS;;;Active;12915;EE;EE100889639;System Operator;X
10X1001A1001A418;SVK;Svenska kraftnät;;;Active;;SE;SE202100428401;System Operator;X
10X1001A1001A450;ENTSO-E;European Network of Transmission System Operators for Electricity;;;Active;1000;BE;BE0809819049;System Operator;X
10X1001A1001A46Z;BDEW-GERMANY;BDEW Bundesverband der Energie- und Wasserwirtschaft e.V.;;;Active;D-10117;;DE814902527;Information Provider;X
10X1001A1001A47X;A+B;A& B Ausgleichsenergie &  Billanzgruppen-Management AG;;;Active;A-6020;AT;ATU50740701;Imbalance Settlement Responsible;X
10X1001A1001A49T;EFET;European Federation of Energy Traders (EFET);;;Active;1081 JS;;NL808304240B01;Information Provider;X
10X1001A1001A515;NGESO;National Grid ESO;;;Active;WC2N 5EH;GB;GB547863011;System Operator;X
10X1001A1001A523;CYPRUS_TSO;Cyprus Transmission System Operator;;;Active;2057;CY;CY90001894D;System Operator;X
10X1001A1001A531;EIRGRID;EirGrid Plc.;;;Active;Dublin 4;IE;IE6358522H;System Operator;X
10X1001A1001A55Y;LITGRID;LITGRID;;;Active;LT-09311;LT;LT100005748413;System Operator;X
10X1001A1001A57U;JAO-SA;JAO S.A.;;;Active;1273;LU;LU22902629;Capacity Trader,Transmission Capacity Allocator;X
10X1001A1001A58S;BRITNED_IC;BritNed Development Limited;;;Active;NL-6811 JZ;NL;NL813642127B01;Grid Operator;X
10X1001A1001A59Q;ELEXON;Elexon;;;Active;NW1 3AW;GB;GB756932493;System Operator;X
10X1001A1001A604;ENTSOG;European Network of Transmission System Operators for Gas;;;Active;B-1000;BE;BE0822653040;System Operator;X
10X1001A1001A612;LANDSNET;Landsnet;;;Active;112;IS;85125;System Operator;X
10X1001A1001A620;ENERGORYNOK;State Company 'Energorynok';;;Active;01032;UA;200131518;Market Operator;X
10X1001A1001B54W;LV-AST;AS Augstsprieguma tīkls;;;Active;1073;LV;LV40003575567;System Operator;X
10X1001B1001B61Q;ACER;Agency for the Cooperation of Energy Regulators;;;Active;;;37879260;Information Provider;X
10X1001C--00001X;UKRENERGO;State Enterprise ''National Power Company Ukrenergo'';;;Active;01032;UA;001002226654;System Operator;X
10X1001C--00002V;MOLDELECTRICA;SE Moldelectrica;;;Active;MD-2012;MD;0203943;System Operator;X
10X1001C--00003T;TSCNET_SERVICES;TSCNET;;;Active;81673;DE;DE297454557;Coordination Center Operator;X
10X1001C--00004R;NEMOLINK_IC;Nemo Link Limited;;;Active;EC2N 5EH;GB;GB210508459;Grid Operator;X
10X1001C--00005P;ECAG;Ezpada Commodities AG;;;Active;9495;LI;60258;Balance Responsible Party;X
10X1001C--00006N;LIBRAPLATFORM;LIBRA platform;;;Active;N/A;BE;NA;Platform Operator;X
10X1001C--00007L;GEORGIANTSO;Georgian State Electrosystem;;;Active;0105;GE;204995176;System Operator;X
10X1001C--00008J;NORDIC_RCC;Nordic RCC;;;Active;2300;DK;DK42882585;Coordination Center Operator;X
10X1001C--00009H;MFRR_PLATFORM;Common platform for mFRR;;;Active;na;BE;n / a;Platform Operator;X
10X1001C--00010W;AFRR_PLATFORM;Common platform for aFRR;;;Active;DE-73240;DE;N/A;Platform Operator;X
10X1001C--00011U;INPLATFORM;European platform for imbalance netting;;;Active;73240;DE;N/A;Platform Operator;X
10XAL-KESH-----J;OST-ALBANIA;OST;;;Active;1023;AL;K42101801N;System Operator;X
10XAT-APG------Z;APG;Austrian Power Grid AG;;;Active;1220;AT;ATU46061602;System Operator;X
10XAT-TIRAG-N--Q;TIWAG-NETZ;TIWAG-Netz AG;;;Active;;;;System Operator;X
10XAT-VKW-UNG--Y;VUEN;Vorarlberger Übertragungsnetz GmbH;;;Active;6900;AT;ATU66847727;System Operator;X
10XBA-JPCCZEKC-K;NOSBIH;Nezavisni Operator Sistema u Bosni i Hercegovini;;;Active;71000;BA;200777780003;System Operator;X
10XBG-ESO------A;ESO;Elektroenergien Sistemen Opeator EAD;;;Active;1404;BG;BG175201304;System Operator;X
10XCB-CZ-COMP--D;CB-CZECH-REP;CEPS, a. s.;;;Active;10152;CZ;CZ25702556;System Operator;X
10XCB-CZECH-REPJ;CB-CZECH-REP-OP;CEPS, a. s.;;;Active;10152;;CZ25702556;System Operator;X
10XCB-HUNGARY--X;CB-HUNGARY;MAVIR - Control Block Operator Hungary;;;Active;1031;;HU12550753;System Operator;X
10XCB-SLOVAKIA-V;CB-SLOVAKIA;Slovenska elektrizacna prenosova sustava, a.s.;;;Active;824 84;;SK2020261342;System Operator;X
26X00000105744-K;IT-NZ_TRADINGSR;NZ TRADING;;;Active;;;IT07673440967;Market Operator;X
10XCH-SWISSGRIDC;SWISSGRID;Swissgrid AG;;;Active;5001;CH;CH615353;Balance Responsible Party,System Operator;X
10XCS-CG-TSO---5;CGES;Crnogorski elektroprenosni sistem AD;;;Active;81000;ME;02751372;System Operator;X
10XCS-SERBIATSO8;EMSTSO;JP Elektromreža Srbije;;;Active;11000;;103921661;Market Operator,System Operator;X
10XCZ-CEPS-GRIDE;CEPS;ČEPS, a.s.;;;Active;101 52;CZ;CZ25702556;System Operator;X
10XDE-ENBW--TNGX;DE-TRANSNETBWTSO;TransnetBW GmbH;;;Active;70173;DE;DE191008872;System Operator;X
10XDE-EON-NETZ-C;TTG_DE;TenneT TSO GmbH;;;Active;95448;;DE815073514;System Operator;X
