VannKraftverkID,Navn,VannKVType,VannKVTypeID,HovedEier,HovedEier_OrgNr,Fylke,FylkesNr,Kommune,KommuneNr,ForsteUtnyttelseAvFalletDato,DatoForEldsteKraftproduserendeDel,MaksYtelse,MidProd_91_20,BruttoFallhoyde_M,Slukeevne,EnEkv,ElspotomraadeNummer,RegineNr,ErIDrift,IDriftDato,Konsesjoner,Kraftverkstatus,NVEOmraadeID,NVEOmraadeNavn,Nedborsfeltnavn,SPPunkt,SPSone,UnderBygging,UteAvDrift,VassdragsOmraadeID,VassdragsOmraadeNavn
2,Adamselv,Kraftverk,K,STATKRAFT ENERGI AS,987059729,Finnmark,56,Lebesby,24,1973,1973,50.0,196.366,200.0,30.19,0.46,4,229.3Z,True,1973-01-01T00:00:00,"[{'KdbID': 482, 'Tittel': 'Overføringer og reg. m.v. i Adamselv og Frierfjordelv i Finnmark'}, {'KdbID': 975, 'Tittel': 'Erverv av bruksrett til vannfall i Frierfjordelv og Adamselv'}, {'KdbID': 5794, 'Tittel': 'Reg. Lille Måsevatn, Lille Måsevatn pumpe, overf. bekkeinntak til Adamselv krv'}]",Idrift,,,Friarfjordelva,01,893,False,,12,NVE - område: 12
1268,Aga,Kraftverk,K,,,Vestland,46,Voss,21,2007,2007,0.05,0.255,,,,5,052.1B,True,2007-01-01T00:00:00,"[{'KdbID': 3307, 'Tittel': 'Aga mikrokraftverk'}]",Idrift,,,Granvinvassdraget,,999,False,,6,NVE - område: 6
1527,Aklestad,Kraftverk,K,HÅVARD AKLESTAD,988117722,Møre og Romsdal,15,Ørsta,20,2008,2008,0.0115,0.012,,,,3,097.1Z,True,2008-01-01T00:00:00,"[{'KdbID': 4981, 'Tittel': 'Aklestad mikrokraftverk'}]",Idrift,,,Bondalselva,,999,False,,8,NVE - område: 8
1677,Akslandselva,Kraftverk,K,AKSLANDSELVA KRAFTVERK AS,991005625,Vestland,46,Etne,11,2013,2013,1.7,4.479,332.5,0.67,0.705,2,042.11Z,True,2013-07-15T00:00:00,"[{'KdbID': 5215, 'Tittel': 'Akslandselva kraftverk'}]",Idrift,,,Akslandselva,,999,False,,5,NVE - område: 5
2054,Ala,Kraftverk,K,SKAGERAK KRAFT AS,979563531,Innlandet,34,Vang,54,2022,2022,5.8,18.6,346.8,1.92,0.839,1,012.N2A,True,2022-09-27T00:00:00,"[{'KdbID': 6617, 'Tittel': 'Ala kraftverk'}]",Idrift,,,Drammensvassdraget,,043,False,,1,NVE - område: 1
938,Alnes Vannbehandlingsanlegg,Kraftverk,K,GISKE KOMMUNE,964980721,Møre og Romsdal,15,Giske,32,1997,1997,0.06,0.18,,,,3,101.72,True,1997-01-01T00:00:00,[],Idrift,,,KYSTFELT,,999,False,,8,NVE - område: 8
1689,Alsaker,Kraftverk,K,ALSAKER KRAFT AS,990843805,Vestland,46,Kvinnherad,17,2009,2009,1.2,2.855,157.0,0.95,0.351,2,042.62Z,True,2009-03-17T00:00:00,"[{'KdbID': 4644, 'Tittel': 'Alsaker minikraftverk'}]",Idrift,,,Fatlandselva,,999,False,,5,NVE - område: 5
3,Alta,Kraftverk,K,STATKRAFT ENERGI AS,987059729,Finnmark,56,Alta,01,1987,1987,150.0,738.287,185.0,96.01,0.433,4,212.B6,True,1987-05-21T00:00:00,"[{'KdbID': 766, 'Tittel': 'Alta utbyggingen - Statsregulering og utbygging av Savsto Kraftverk'}, {'KdbID': 1887, 'Tittel': 'Alta utbyggingen - Savtso kraftv. - Fastsettelse man.regl.'}, {'KdbID': 3202, 'Tittel': 'Forlengelse av prøvereglementet for Alta kraftverk'}, {'KdbID': 3771, 'Tittel': 'Alta kraftverk - endring i manøvreringsreglement'}, {'KdbID': 4479, 'Tittel': 'Varig manøvreringsreglement for Alta kraftverk'}]",Idrift,,,Altavassdraget,01,853,False,,12,NVE - område: 12
808,Andåsfossen,Kraftverk,K,HELGELAND KRAFT VANNKRAFT AS,917424896,Nordland,18,Vefsn,24,1908,2001,2.0,7.282,,4.7,0.118,4,151.A21A1,True,2001-02-14T00:00:00,"[{'KdbID': 2678, 'Tittel': 'Andåsfossen kraftverk - ombygging'}]",Idrift,,,Vefsna,01,635,False,,10,NVE - område: 10
1929,Anga,Kraftverk,K,ANGA KRAFT AS,911605384,Vestland,46,Sunnfjord,47,2019,2019,7.8,21.844,56.0,16.2,0.134,3,084.AA0,True,2019-07-01T00:00:00,"[{'KdbID': 5873, 'Tittel': 'Anga kraftverk'}, {'KdbID': 7926, 'Tittel': 'Anga kraftverk - søknad om økt slukeevne'}]",Idrift,,,Jølstra,,346,False,,13,NVE - område: 13
